Start Time,End Time,Sentence,Translation,Emotion
"00:15:03,000","00:15:03,000",بوزيتف ده,"Bositev, that's it.",neutral
"00:15:03,000","00:15:05,000",أيوة صباح الخير,Good morning.,neutral
"00:15:05,000","00:15:06,000",أيوة,Yeah.,neutral
"00:15:06,000","00:15:07,000",أيوة الله,"Oh, God.",neutral
"00:15:07,000","00:15:09,000",إيش لفروض دلع يكون غير إيش يعني زيش,"Ish's for dirtbags, but nothing means zish.",neutral
"00:15:09,000","00:15:11,000",لا هي صباح الخير ده كده,"No, it's good morning. That's it.",neutral
"00:15:11,000","00:15:12,000",عايز إيه بالدنيا يا ربا,"Dear God, I want to live.",neutral
"00:15:12,000","00:15:14,000",لا فيه كلمات فيه أشياء ما ينفعقولها يعني كده,There's no words in it. Something that makes sense means that way.,anger
"00:15:14,000","00:15:15,000",ما ينفعش,Which does not work.,neutral
"00:15:16,000","00:15:17,000",مستحي,Impressive.,neutral
"00:15:17,000","00:15:18,000",إيش الجريم فلاكس اللي فيك,"What's the crime, Flack? What's wrong with you?",neutral
"00:15:18,000","00:15:21,000",هشجعك على أن أنت بقى,He encouraged you to stay.,neutral
"00:15:21,000","00:15:23,000",حتى لو أنا مش مقتنعة,"Even if I'm not convinced,",neutral
"00:15:23,000","00:15:25,000",بمثلاً موضوع التيك توك وكده,"For example, the Ticktock thing... and the Ticktock thing.",neutral
"00:15:25,000","00:15:28,000",بس هي حاجة مهمة بالنسبة لك,But it's an important need for you.,neutral
"00:15:28,000","00:15:29,000",فأنا هشجعك عليها,I encouraged you to do it.,neutral
"00:15:29,000","00:15:30,000",في ذمتك,In your case.,neutral
"00:15:30,000","00:15:31,000",شي مرة أنا كويس فيه,Something once I'm good.,neutral
"00:15:31,000","00:15:33,000",كيف ما أنت مقتنعة فيه,How can you be so convinced?,neutral
"00:15:33,000","00:15:34,000",أنا ما بحبش تيك توك,I don't like Ticktock.,neutral
"00:15:34,000","00:15:35,000",أنت عكسي,You're the opposite.,neutral
"00:15:40,000","00:15:42,000",أن أنت قررت أن أنا مش شاطرة في التمثيل,You decided I wasn't an actress.,neutral
"00:15:42,000","00:15:44,000",وإنت قلتيلي في البداية أنا ممثلة,And you first said I was an actress.,neutral
"00:15:44,000","00:15:46,000",بعدين قلتلي أنا لسه بدأت بحبي,"After you told me, I didn't start in love with me.",anger
"00:15:46,000","00:15:47,000",لا بتحبي,Don't love.,neutral
"00:15:47,000","00:15:48,000",يعني تعرف مثلاً مين جاء في بالي,"It means you know, like who came into my head.",anger
"00:15:48,000","00:15:49,000",مين,Min!,neutral
"00:15:49,000","00:15:50,000",هانا الزاهد مثلاً,"Hannah, for example.",neutral
"00:15:50,000","00:15:51,000",خلاص هادي إيش حاجة,"Come on, Eh-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h-h.",neutral
"00:15:51,000","00:15:51,000",إيش هي تقول لها دي,"Eh, she's telling her D.",neutral
"00:15:51,000","00:15:52,000",مش,I don't...,neutral
"00:15:53,000","00:15:54,000",بس طلعت هانا الزاهد بتحبي,"I'm just gonna be here, and I'm gonna love Hannah.",anger
"00:15:54,000","00:15:56,000",يعني أنا ببدأ آه,It means I'm starting to ah.,neutral
"00:15:56,000","00:15:57,000",بس أنا بمثل,I'm just like...,neutral
"00:15:57,000","00:16:00,000",وبعدين يعني من سنة مثلاً قبل ما بدأ أمثل,"And then a year ago, for example, before I started acting.",neutral
"00:16:00,000","00:16:03,000",كنت لسه بقى بحاول أمثل,I wasn't gonna keep trying to act.,neutral
"00:16:03,000","00:16:04,000",سنة بتحاول تمثلي,A year trying to represent me.,neutral
"00:16:04,000","00:16:06,000",لا مش سنة ست سنين,"No, it's not six years.",neutral
"00:16:06,000","00:16:07,000",ست سنين بتحاول تمثلي,Six years trying to represent me.,neutral
"00:16:07,000","00:16:08,000",وبتحبي,And love.,neutral
"00:16:08,000","00:16:09,000",آه,Aah!,neutral
"00:16:09,000","00:16:10,000",ليه بتحبي طيب,Why do you love me so well?,neutral
"00:16:10,000","00:16:10,000",وقف حبي,Stop loving me.,neutral
"00:16:10,000","00:16:11,000",أنا هو بمثله,I'm like him.,neutral
"00:16:11,000","00:16:13,000",ماربنا كرمني,Our marbles are generous.,neutral
"00:16:13,000","00:16:16,000",يعني إذا فيه اسم مرة كبيرة اشتغلتي معاه نايس,"I mean, if it's got a big name, you've worked with Nate.",anger
"00:16:16,000","00:16:17,000",آيوه فيه,"Oh, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah.",anger
"00:16:17,000","00:16:17,000",والله,And God.,neutral
"00:16:18,000","00:16:18,000",كيب جوينغ,Cape Gwing.,neutral
"00:16:19,000","00:16:20,000",خلاص إيوه صح طيب,It's okay. It's okay.,neutral
"00:16:20,000","00:16:21,000",إنت كده شاطرة,You're like that.,neutral
"00:16:21,000","00:16:22,000",إنت بتقوللي ما إنت شاطرة,You're telling me what you're saying.,neutral
"00:16:22,000","00:16:23,000",إنت بتقوللي من نفسك,You're telling me yourself.,neutral
"00:16:23,000","00:16:24,000",مو أنا,"Moe, me.",neutral
"00:16:24,000","00:16:25,000",أنا على حسب طريقة كلامك,I'm on the same page as you are.,neutral
"00:16:25,000","00:16:28,000",يا حوا على الحيط أضيع على وشك,"Hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey, hey,",anger
"00:16:28,000","00:16:30,000",أنا بقلل من نفسي,I'm being less of myself.,neutral
"00:16:30,000","00:16:31,000",أنا عمالة بحاول أثبت لك,"I'm a job, trying to prove it to you.",neutral
"00:16:31,000","00:16:34,000",إن أنا أستحق أجرب,I deserve a shot.,neutral
"00:16:34,000","00:16:35,000",برضو بتجيب العيت بنفسك,Satisfied to take care of yourself.,neutral
"00:16:35,000","00:16:37,000",اللي يستحق ما يجرب,Who deserves to be tried.,neutral
"00:16:37,000","00:16:38,000",هم الناس اللي يجوا يكلموني,They're the people who come to talk to me.,neutral
"00:16:38,000","00:16:39,000",يقولوله تعال,He says it. Come on.,neutral
"00:16:39,000","00:16:40,000",إنت ما تجرب هم اللي يفتوكوا,You're what you're trying on. They're the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who are the ones who aren't.,anger
"00:16:40,000","00:16:41,000",يعني إنت أول مرة دخلت,"I mean, you were the first time I walked in.",anger
"00:16:41,000","00:16:43,000",إنت أول مرة دخلت ملعب بادل,You're the first time I've ever been in a ballpark.,anger
"00:16:43,000","00:16:46,000",دخلت خلاص كسبت الماتش,I'm in. I've earned the Mouch.,neutral
"00:16:46,000","00:16:47,000",بالبراكتس حقي,Brackets is my right.,neutral
"00:16:47,000","00:16:48,000",صاروا الناس يكلموني,People have been calling me.,neutral
"00:16:48,000","00:16:49,000",آيوه,Uh-huh.,neutral
"00:16:49,000","00:16:50,000",امسك كلمة راجل,Hold on to a man's word.,neutral
"00:16:50,000","00:16:51,000",إنت شافة إنت نفس بعيدة,You're a healer. You're a long breath.,neutral
"00:16:51,000","00:16:52,000",إنت مفضحت إنت,You're fucked. You're fucked.,neutral
"00:16:53,000","00:16:54,000",إذا ما تعمل ليش كده,So what you do for a living?,neutral
"00:16:54,000","00:16:55,000",إنت مفضوحة,You're exposed.,neutral
"00:16:55,000","00:16:55,000",إيه,Eh.,neutral
"00:16:55,000","00:16:57,000",فضحتي نفسي قلت إنك إنت نفسك صديقة,Explain myself. I said you were a friend.,neutral
"00:16:58,000","00:17:00,000",أنا مسكة نفسي عنك بالعافية,I'm holding myself healthy about you.,anger
"00:17:00,000","00:17:00,000",ليه,Why?,neutral
"00:17:00,000","00:17:02,000",بقى هطلعلك المصريين اللي جوا,There's still the Egyptians who flew in.,neutral
"00:17:02,000","00:17:04,000",أوريك ما هالمصريين عاملين إزاي,"Eric, what are the Egyptians doing here?",neutral
"00:17:04,000","00:17:06,000",إهدى بقى كده واسمع,Calm down. Stay there and listen.,neutral
"00:17:06,000","00:17:08,000",قلت هنبراكتس,I said Henbractic.,neutral
"00:17:08,000","00:17:10,000",إنت دخلت الملعب,You're on the field.,neutral
"00:17:10,000","00:17:11,000",إيه عملت إيه,What did you do?,neutral
"00:17:11,000","00:17:12,000",حسيت نفسي والله موهوب,"I felt myself, and God is talented.",neutral
"00:17:12,000","00:17:14,000",إنت مولود بتلعب بادل,You're born to play badass.,neutral
"00:17:14,000","00:17:15,000",حسيت نفسي,I felt myself.,neutral
"00:17:15,000","00:17:17,000",وأنا حشت نفسي موهوبة يا أخي سيبني,"And I stuffed myself with talent, brother, my son.",anger
"00:17:17,000","00:17:20,000",بس يا أختي إنت لكي 6 سنوات,"But, sis, you're six years old.",neutral
"00:17:20,000","00:17:21,000",6,Six.,neutral
"00:17:21,000","00:17:23,000",أنا لو لي 6 سنوات في البادل وما سويت شي فيه ليش,I've only had six years in the Bed and I've never settled a thing in it.,anger
"00:17:23,000","00:17:25,000",إذا ما لقيت منه فلاح أمشي,"If I ever catch him, I'll walk.",neutral
"00:17:25,000","00:17:27,000",لازم تتعلمي متى ترحلي من الشي,You need to learn when to walk away from something.,anger
"00:17:27,000","00:17:28,000",يعني لازم تعرف الوقت المناسب,It means you need to know the right time.,neutral
"00:17:28,000","00:17:30,000",أنا فعلاً محتاج أرحل,I really need to leave.,neutral
"00:17:30,000","00:17:32,000",فعلاً محتاج أرحل,I really need to leave.,neutral
"00:17:33,000","00:17:35,000",والله أنا معطيكي الرقم ده عشان مرة ضحكت,"And God, I gave you that number once I laughed.",neutral
"00:17:35,000","00:17:37,000",مرة مرة أنا قاعد أضحك ترى,"Once, I'm just laughing. You see?",neutral
"00:17:37,000","00:17:39,000",جوتي كمان قاعد أضحك أنا إنت حين,Guttie's a violin. I'm laughing. I'm just laughing.,anger
"00:17:39,000","00:17:40,000",كم عطيتني,How much did you give me?,neutral
"00:17:42,000","00:17:43,000",أنا أمشي معك كده بقى,I'm walking with you. That's how it stayed.,neutral
"00:17:53,000","00:17:55,000",بص أنا فهمتهم بيعملوا إيه عمّة,"Look, I get it. They're gonna be fucked up, aunt.",neutral
"00:17:55,000","00:17:57,000",هم بينزلولي أكلة سعودي,They're a Saudi-eating Penzelli.,neutral
"00:17:57,000","00:17:59,000",وبينزلولك مصري تقريباً,And yours is almost Egyptian.,neutral
"00:17:59,000","00:17:59,000",حصل,It happened.,neutral
"00:17:59,000","00:18:01,000",فتعالي نسويتش كده,"Come on, get him.",neutral
"00:18:01,000","00:18:01,000",شان أنا كمان,"Shane, I'm a violin.",neutral
"00:18:01,000","00:18:02,000",ليش على طول كده طب جرب,Why isn't he along with his medicine? Try it.,neutral
"00:18:02,000","00:18:04,000",أنا ما بأكلش لحمة,I don't eat meat.,neutral
"00:18:04,000","00:18:04,000",إيش ده؟,What's that about?,neutral
"00:18:04,000","00:18:05,000",كبسة,Pop.,neutral
"00:18:06,000","00:18:08,000",أنا الدوني,I'm Donnie.,neutral
"00:18:09,000","00:18:09,000",إيش تتوقعي؟,What do you expect?,neutral
"00:18:09,000","00:18:11,000",أقوى أكلة مصرية في العالم,The most powerful Egyptian eater in the world.,neutral
"00:18:11,000","00:18:12,000",ملوخية,A freak.,neutral
"00:18:12,000","00:18:12,000",غلط,Wrong.,neutral
"00:18:13,000","00:18:14,000",أنت كلت؟,You all?,neutral
"00:18:14,000","00:18:14,000",أنت لحقت تأكل؟,You caught eating?,neutral
"00:18:14,000","00:18:16,000",لا والله ما كلت بس حطيت الشوك,"No, God forbid I got the thorns.",neutral
"00:18:16,000","00:18:16,000",ماشي هات,"All right, come on, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's go.",anger
"00:18:16,000","00:18:17,000",خديها يلا,Take it. Let's go.,neutral
"00:18:17,000","00:18:17,000",هات يا عم,"Come on, Uncle.",neutral
"00:18:18,000","00:18:19,000",خلاص خلاص,Get out! Get out!,neutral
"00:18:20,000","00:18:21,000",أمزح أمزح,I'm kidding. I'm kidding.,neutral
"00:18:21,000","00:18:22,000",خلي الاثنين عندك,Let the two of you have it.,neutral
"00:18:22,000","00:18:22,000",خدي خدي خدي,"Here, here, here.",neutral
"00:18:22,000","00:18:24,000",طيب إيش طلال لنا داحين؟,Okay. Isn't that good for us?,neutral
"00:18:24,000","00:18:25,000",ويدينج ها,Wedding Ha.,neutral
"00:18:27,000","00:18:28,000",مستحيل يصير,There's no way it's gonna happen.,neutral
"00:18:28,000","00:18:29,000",في أحلامك,In your dreams.,neutral
"00:18:29,000","00:18:31,000",طيب لا نتكلم من جد داحين,"Okay, we don't talk very badly.",neutral
"00:18:31,000","00:18:32,000",في الويدينج,In the Wedding.,neutral
"00:18:32,000","00:18:33,000",مين يشيل الليلة؟,Who's Chill tonight?,neutral
"00:18:33,000","00:18:34,000",النص بالنص,Text text,neutral
"00:18:34,000","00:18:35,000",كده أغير رأيه,That's how he changed his mind.,neutral
"00:18:35,000","00:18:37,000",حتى لو أنت مثلة شاطرة تقدر تمثلي,Even if you're such a cosmopolitan who appreciates me.,anger
"00:18:37,000","00:18:39,000",كل الشي خصها الويدينج,It's all Wedding's.,neutral
"00:18:40,000","00:18:41,000",يسويه الولد,The boy settles it.,neutral
"00:18:41,000","00:18:42,000",هي بس تختار,She just chooses.,neutral
"00:18:42,000","00:18:43,000",في وقت الزواج,At the time of the wedding.,neutral
"00:18:43,000","00:18:45,000",ماشي عم أنت كريم ماشي,"All right, Uncle. You're generous. All right.",neutral
"00:18:45,000","00:18:46,000",مو هرجة كريم ولا مكريم,"No creamy, no cream.",neutral
"00:18:46,000","00:18:46,000",هذا الصح,That's right.,neutral
"00:18:46,000","00:18:47,000",اللي يقول غير كده ما يفهم,What he says is that he doesn't understand.,anger
"00:18:47,000","00:18:48,000",ليش في النص بالنص؟,Why in the script?,neutral
"00:18:48,000","00:18:50,000",ليش تحس فيه ناس يقولوا النص بالنص؟,Don't you feel it? People say the script?,neutral
"00:18:50,000","00:18:51,000",مشاركة يعني,Participation means...,neutral
"00:18:51,000","00:18:51,000",مشاركة؟,Engage?,neutral
"00:18:51,000","00:18:53,000",حياتي بتبقى مشاركة,My life stays in check.,neutral
"00:18:53,000","00:18:54,000",هو زواجه مرة واحدة في الحياة,Is marrying him once in a lifetime.,neutral
"00:18:54,000","00:18:56,000",خلاص الماديات في الفرح,The redemption of material in joy.,neutral
"00:18:56,000","00:18:58,000",الولد يشيلها كاملة,The boy cripples her completely.,neutral
"00:18:58,000","00:18:59,000",حاض,Patience.,neutral
"00:18:59,000","00:18:59,000",كلها,Eat it.,neutral
"00:19:00,000","00:19:01,000",أنت تشوفي غير كده؟,You're a different healer?,neutral
"00:19:01,000","00:19:02,000",أنا برأي معاك,I'm with you.,neutral
"00:19:02,000","00:19:03,000",أنت إيه اللي بتكون عكسي بالكلام؟,You're the one who's not talking to me?,neutral
"00:19:03,000","00:19:04,000",أنت عاجبك الكلام,You like to talk.,neutral
"00:19:04,000","00:19:05,000",لماذا بتكون عكسي؟,Why would she be the other way around?,neutral
"00:19:05,000","00:19:06,000",أنت مش عايز تتساعد,You don't want to help.,neutral
"00:19:06,000","00:19:07,000",أنا عم بيلك إيه؟,I'm Billy's uncle?,neutral
"00:19:07,000","00:19:07,000",تمام,Okay.,neutral
"00:19:07,000","00:19:08,000",بتساعديني؟,Help me?,neutral
"00:19:08,000","00:19:09,000",ساعديني بعد الزواج,Help me after the wedding.,neutral
"00:19:09,000","00:19:09,000",لا إيه؟,No. Eh?,neutral
"00:19:09,000","00:19:11,000",اشتريلي هدايا بالعكس,Buy me presents on the contrary.,neutral
"00:19:11,000","00:19:13,000",انت هو ده سيستم بتاعك,You're the one who's gonna listen to you.,neutral
"00:19:13,000","00:19:15,000",بتبدأ اللي هو بتدحل بالواحد,Start with what he's going through with the one.,neutral
"00:19:15,000","00:19:17,000",وبعدين تديله على دماغه,And then you pin it on his brain.,neutral
"00:19:18,000","00:19:18,000",ما هي كده؟,What's that like?,neutral
"00:19:18,000","00:19:19,000",الأول هاي,- First one. - Hey.,neutral
"00:19:19,000","00:19:21,000",آه لذيذ جميل محترم بتاعه,"Ah, delicious, delicious, respectable.",neutral
"00:19:21,000","00:19:22,000",بعدين إيه؟,After what?,neutral
"00:19:23,000","00:19:24,000",أنا محترم,I'm a gentleman.,neutral
"00:19:24,000","00:19:25,000",أيوة أنت محترم أنا مش قارن,You're a gentleman. I'm not a match.,neutral
"00:19:25,000","00:19:26,000",محترمين؟,Respected?,neutral
"00:19:26,000","00:19:26,000",خمسة,Five.,neutral
"00:19:26,000","00:19:27,000",ماشي حل,It's okay. It's okay.,neutral
"00:19:27,000","00:19:30,000",أنت في الأول بتبقى داخل كده هاذي وجميل,You're the first to stay inside. This is beautiful.,neutral
"00:19:30,000","00:19:31,000",وبعدين بتوري بقى وش تاني,And then Tori stayed.,neutral
"00:19:31,000","00:19:32,000",والله العظيم,And God is great.,neutral
"00:19:32,000","00:19:33,000",دلوقتي إيه,"My time, eh?",neutral
"00:19:33,000","00:19:35,000",لا أنا هاصرف أنا على الفرح كله,"No, I'm distracted. I'm all over the joy.",neutral
"00:19:35,000","00:19:36,000",وبعدين بعد الجهوز بقى هاذي,"And then after the prep, he stayed here.",neutral
"00:19:36,000","00:19:38,000",أنت داحين قلتي تبغي مشاركة صح؟,"You said you wanted to share, right?",neutral
"00:19:38,000","00:19:39,000",بجامع؟,At a university?,neutral
"00:19:39,000","00:19:40,000",مشاركة,Participation,neutral
"00:19:40,000","00:19:41,000",ما أبغى بجامع إيش؟,What should I do with Ish?,neutral
"00:19:41,000","00:19:42,000",أبغى بالبجامع,I'm in college.,neutral
"00:19:42,000","00:19:43,000",ما عرفش إنه,I didn't know he was...,neutral
"00:19:43,000","00:19:44,000",الواحد يبغى مشاركة,One should share.,neutral
"00:19:44,000","00:19:46,000",قلت لك الأشياء الحلوة إنك تسويها,I told you sweet things you'd settle.,anger
"00:19:46,000","00:19:47,000",تيجي مناسبة كويسة,"Well, that's a good one.",neutral
"00:19:47,000","00:19:50,000",جيبي لها هدية دا منك تحب إنك تسوي شي معاهم,My pocket has a gift from you. You like to settle something with them.,anger
"00:19:50,000","00:19:51,000",دي المشاركة من وجهة,Dee's going in his direction.,neutral
"00:19:51,000","00:19:53,000",بس البنت المفروض في الماديات ما تتدخل ولا في شي,But the girl who's supposed to be in the material has nothing to do with it.,anger
"00:19:53,000","00:19:54,000",خلاص كل شي يسويه الولد,It's all made up for the boy.,neutral
"00:19:54,000","00:19:57,000",أنا برضو كل ما بحاول أساعد أنت مش عاجبك تمام,I'm glad everything I'm trying to help. You don't like me very well.,anger
"00:19:57,000","00:19:59,000",لا مادياتك ساعد نفسك بيها,"No, your stuff. Help yourself with it.",neutral
"00:19:59,000","00:19:59,000",ما تساعديني,What you're helping me with.,neutral
"00:20:01,000","00:20:05,000",طيب منه ما شاء الله في التمثيل بنمشي وزي كده وبنأحبه وبنتحرك وبنمهم,"Good of him as God wills in acting in a shirt and a uniform and in love with him, and in action and in their sleep.",anger
"00:20:05,000","00:20:07,000",التمثيل بيسوي فلوس كويسة؟,An actress? An actress? An actress?,neutral
"00:20:07,000","00:20:11,000",والله ست سنين كمان وممكن يجيب فلوس أصلا,"And God has six years of violin, and he can even answer for money.",anger
"00:20:11,000","00:20:14,000",ست سنين كمان؟ غير الست سنين اللي بديت فيها؟,"Six years of violin, other than the six years you've been looking at?",anger
"00:20:15,000","00:20:16,000",عشان الصبر,For patience.,neutral
"00:20:16,000","00:20:17,000",الصبر,Patience.,neutral
"00:20:17,000","00:20:18,000",والباشن,And the Pashni.,neutral
"00:20:20,000","00:20:21,000",أيوة أيوة أيوة صح,"Yeah, yeah, yeah.",neutral
"00:20:21,000","00:20:23,000",والله ست سنين اللي راحت هاد يار,"And God, for six years, it's been so hard.",neutral
"00:20:23,000","00:20:24,000",يعني إن شاء الله الله يعطيك على قد نيتك,"It means if God wills, God will give you your will.",anger
"00:20:24,000","00:20:25,000",خسارة من أمري آه,Losing me. Ahh.,neutral
"00:20:25,000","00:20:26,000",الله يعطيك على قد نيتك,God give you your will.,neutral
"00:20:26,000","00:20:28,000",طيب خلينا في الودين,"Okay, let's go with the worms.",neutral
"00:20:28,000","00:20:30,000",إنت عايز تعمل فرح كبير قد إيه؟,You want to make a big cheerleader?,neutral
"00:20:30,000","00:20:31,000",اللي هتتفعل وحدك,What are you gonna do alone?,neutral
"00:20:31,000","00:20:34,000",شوفي هذه الليلة هتكون مرة وحدة في حياتي,"Chevy, tonight will be the lonely time of my life.",neutral
"00:20:35,000","00:20:36,000",لازم أفجرها,I have to blow it up.,neutral
"00:20:36,000","00:20:38,000",مش إيه بقى التفجير اللي إنت هتفجره ده؟,What else are you gonna blow up?,neutral
"00:20:38,000","00:20:40,000",كل الناس اللي عارفهم هيحضروا الفرح,"All the people who knew them, they brought joy.",neutral
"00:20:40,000","00:20:43,000",هجيب مغنين مرة كويسين يغنوا عندي في الفرح,Gibbs singers once. Cosine sings for me in joy.,neutral
"00:20:43,000","00:20:44,000",زي مين؟,Z-min?,neutral
"00:20:44,000","00:20:45,000",عبدالمجيد عبدالله تايفي عبدالمجيد عبدالله؟,Abdullahijid Abdullah Tayfi Abdullahied Abdullahi?,neutral
"00:20:46,000","00:20:47,000",إن شاء الله إني ألحق عليه,"God willing, I'm going after him.",neutral
"00:20:47,000","00:20:50,000",لأنه فجأة يعتزل وفجأة يرجع زي كل أشياء,"'Cause suddenly he quits, and suddenly he comes back dressed like everything else.",anger
"00:20:50,000","00:20:53,000",وعندنا كمان هجيب عمرو دياب تامر حسني,"And we have a violin, Hijab Omar Diab Tamir Hassani.",anger
"00:20:53,000","00:20:55,000",إنت هجيب عمرو دياب وإيه تامر حسني؟,You're Hijab Omar Diab and Tamer Hassani?,neutral
"00:20:55,000","00:20:57,000",تامر حسني لا نفسي أصير صاحب وأجيب الفرح فهمتي؟,"Tamer Hassani, I'm not myself, and I'm happy.",anger
"00:20:58,000","00:21:03,000",الفرح صح تبغي يكون ميكس ولا يكون بنات بس وولاد بس؟,"Joy, right? You want to be Meeks, not girls, but babies?",neutral
"00:21:03,000","00:21:05,000",استنى بس عشان إحنا هنا بقى إيه,"Wait, just because we're here, there's still...",neutral
"00:21:05,000","00:21:07,000",هو ممكن ما يبقىش ميكس؟,Is it possible what leaves Meeks?,neutral
"00:21:07,000","00:21:10,000",هو أكيد مش هيبقى ميكس منتهي الكلام هذا,He's definitely not keeping Meeks out of this.,anger
"00:21:10,000","00:21:12,000",هو إنت بتسألني عن رأيي,He... you're asking me what I think.,neutral
"00:21:12,000","00:21:16,000",بس انت مقرر بس بتسألني عشان يبقى اسمك سأل تاني,But you're just gonna ask me because your name keeps asking again.,anger
"00:21:16,000","00:21:18,000",هنسأل عن رأيي مو قلنا هنفجرها؟,We'll ask what I thought Moe said. We'll blow it up.,anger
"00:21:18,000","00:21:21,000",هنفجرها انت لوحدك وأنا زي ما احنا عادين كده,"We're gonna blow it up on your own, and I'm just like that.",anger
"00:21:21,000","00:21:23,000",نبقى في المية ونتقابل بإذن الله الساعة 2,We stay in the dead and meet with God's permission at 2:00.,anger
"00:21:23,000","00:21:26,000",بس بعد ما نخلص الناس وأنغام تكون رجعت بيتها,"But after we get rid of people, and she's got her house back.",anger
"00:21:26,000","00:21:27,000",هجيب أنغام عند البنات,I go to bed with girls.,neutral
"00:21:27,000","00:21:29,000",هتجيب أنغام عند البنات؟,Will you answer girls' songs?,neutral
"00:21:29,000","00:21:30,000",فيه فرح بنات وفيه فرح وولاد,"There are joys, girls, and there are joys, and children.",neutral
"00:21:30,000","00:21:33,000",الفرس دانس حروس مع مين مع أنغام؟,The Knight Danes Guarded With Who's With Angham?,neutral
"00:21:33,000","00:21:36,000",ايش الفرس دانس هذي شفتي عداته تقاليد بدنا نختلف,"Esh, the Horse, Danes. That's my lips. His enemy is a tradition.",anger
"00:21:36,000","00:21:39,000",يعني العريس والعروسة بيدخلوا الفرح لأول العروسة وبتدخل,It means the bride and groom have the joy of the first bride and step in.,anger
"00:21:39,000","00:21:40,000",هذي تعرفش اسمها الزفة,That's her name.,neutral
"00:21:40,000","00:21:41,000",هتزف الواحدة,You're shaking the one.,neutral
"00:21:42,000","00:21:43,000",اسمحي طب اسمعيني أقولك الزفة دي ايش,"If you'll excuse me. Listen, I'll tell you what, Dish.",anger
"00:21:43,000","00:21:44,000",طب ما ينصح لي عداته التقاليد,Medicine is what my enemy recommends to me.,neutral
"00:21:44,000","00:21:46,000",الزفة الولد هيدخل عند البنات,The boy's girder goes into the girls' room.,anger
"00:21:46,000","00:21:50,000",كل الإضاءات سبوت لايت على الولد مستحيل يشوف الناس بإذن الله,"All lights on the boy, Spot Light. No way people can see by God's leave.",anger
"00:21:50,000","00:21:51,000",بس تريق علينا وهذا الشيء مهم,"We're just gonna take care of this thing, and it's important.",anger
"00:21:52,000","00:21:55,000",طب وليه البنت ما تدخلش عند الولاد ونحط سبوت لايت في وشا,The doctor and the girl don't get in when they're born... and we land the Spot Light in a tattoo.,anger
"00:21:55,000","00:21:57,000",حطي نفسك في الموقف دي ايش تحسي وقتها,"Put yourself in the parking lot, Dish. Feel it then.",anger
"00:21:57,000","00:22:00,000",بنتي ورقة هتكوني وسط كل الولاد اللي هيكونوا فرحة للولاد,My daughter is a piece of paper that will be in the middle of all the kids who are happy for the kids.,anger
"00:22:00,000","00:22:02,000",أنا إذا دخلت أنا ما هشوف ولا أحد,"If I go in, I'm not seen, and no one is.",neutral
"00:22:02,000","00:22:04,000",ليه أنت تيجي فرحي وأنا ما أروحش فرحك,Why don't you come cheer up and I won't cheer you up.,anger
"00:22:04,000","00:22:06,000",افرض أنا عايز أسمع عمرو دياب يا أخي,"I want to hear Imro Diab, bro.",neutral
"00:22:06,000","00:22:10,000",يا أبوي هنحطلك ستيريو هنحطلك صوت عمرو دياب عندك في النادي,"Daddy, you've got a stereo. You've got Omar Diab at the club.",anger
"00:22:10,000","00:22:12,000",ما شغلوا على الراديو أحسن فيه إيه,What they've been doing on the radio is better.,anger
"00:22:12,000","00:22:13,000",فكرة برضو ترى والله حلوة,"An idea that pleases you, and God is sweet.",anger
"00:22:13,000","00:22:15,000",أنت غريب قوي عرفي أنت مستخز,"You're a powerful stranger. You know, you're a prick.",neutral
"00:22:15,000","00:22:18,000",هي هيك خلاص أول فرح المفروض يعني عند الذكر,Heck is the redemption of the first joy. It's supposed to mean in a male.,anger
"00:22:18,000","00:22:20,000",طب أنت جاي هنا ليل نهاردة,You're a doctor. Jay's here night and day.,neutral
"00:22:20,000","00:22:21,000",والله ما أعرف,And God knows what I know.,neutral
"00:22:21,000","00:22:26,000",كان معك تيكل طيارة مفر زيادة فقلت أستخدمها يعني,"You had an extra jet ticker, and I said, ""Use it.""",neutral
"00:22:26,000","00:22:27,000",أنا داحين صرت ما أعرف,I'm a jerk. I'm what I know.,neutral
"00:22:27,000","00:22:28,000",أنت تعبتني,You're tired of me.,neutral
"00:22:28,000","00:22:29,000",أنا بدأت أحرر,I'm getting free.,neutral
"00:22:29,000","00:22:31,000",طب أنتو هتعملوا إيه فرح الرجالة دا,You guys are gonna do a lot of guys cheer.,neutral
"00:22:31,000","00:22:33,000",عمرو دياب تامر حسني عبدالنجيد عبدالله,Imro Diab Tamar Hassani Abdelnejid Abdullah,neutral
"00:22:33,000","00:22:36,000",ونحن نقعد نرقص إلين وقت الزفة,"We're dancing, Ellen, at the time of the wedding.",neutral
